latitude,longitude,timestamp
-42.0998,-77.0621,1769260322
-41.7618,-76.4138,1769260332
-41.4016,-75.7391,1769260342
-41.037,-75.0724,1769260352
-40.6866,-74.4463,1769260362
-40.4259,-73.9893,1769260369
-40.05,-73.3429,1769260379
-39.7654,-72.8632,1769260386
-39.4979,-72.4194,1769260393
-39.1124,-71.7917,1769260403
-38.8012,-71.2948,1769260411
-37.9331,-69.9515,1769260433
-37.6733,-69.5612,1769260440
-37.3919,-69.1441,1769260447
-37.1089,-68.7305,1769260454
-36.8242,-68.3201,1769260461
-35.9398,-67.0798,1769260482
-35.6488,-66.6825,1769260489
-35.2093,-66.0922,1769260500
-34.7877,-65.5364,1769260510
-34.4908,-65.1509,1769260517
-34.2139,-64.7956,1769260523
-33.9143,-64.4158,1769260530
-33.4839,-63.878,1769260540
-33.1812,-63.5052,1769260547
-32.7682,-63.0036,1769260557
-32.4843,-62.6632,1769260563
-32.1546,-62.2725,1769260571
-31.8684,-61.9371,1769260578
-31.4705,-61.4764,1769260587
-30.512,-60.3927,1769260608
-30.1976,-60.0448,1769260615
-29.8821,-59.6993,1769260622
-29.5656,-59.3563,1769260629
-27.9674,-57.6744,1769260664
-27.6449,-57.3447,1769260671
-27.1826,-56.8774,1769260681
-25.4568,-55.1842,1769260718
-25.1276,-54.8699,1769260725
-24.7504,-54.5129,1769260733
-24.4195,-54.2025,1769260740
-24.1116,-53.9158,1769260747
-23.7793,-53.6088,1769260754
-21.9629,-51.9712,1769260792
-21.6261,-51.6747,1769260799
-21.1429,-51.2528,1769260809
-20.8046,-50.9598,1769260816
-20.4657,-50.6683,1769260823
-19.9805,-50.2543,1769260833
-19.494,-49.843,1769260843
-19.1529,-49.5568,1769260850
-18.8112,-49.2719,1769260857
-18.4689,-48.9882,1769260864
-18.1017,-48.6857,1769260872
-17.7583,-48.4045,1769260879
-17.3654,-48.0847,1769260887
-16.9963,-47.7861,1769260894
-16.6514,-47.5087,1769260901
-16.2559,-47.1923,1769260909
-15.9101,-46.9172,1769260916
-15.5637,-46.6431,1769260923
-15.2418,-46.3895,1769260930
-14.8946,-46.1173,1769260937
-14.5222,-45.8267,1769260944
